gyro
X, Y, Z
1.375, 0.4765625, 0.5390625
1.3828125, 0.8984375, 0.296875
1.4453125, 0.8671875, 0.296875
1.6484375, 0.6640625, 0.3984375
1.640625, 0.6640625, 0.359375
1.46875, 0.4765625, 0.3671875
1.7109375, 0.515625, 0.4921875
1.7734375, 0.375, 0.5234375
1.3125, 0.3515625, 0.4140625
1.7890625, 0.5390625, 0.5546875
1.6640625, 0.2421875, 0.4140625
1.140625, 0.6171875, 0.0546875
1.6640625, 0.5390625, 0.34375
1.9921875, 0.875, 0.2421875
1.953125, 0.5625, 0.375
1.3828125, 0.8125, 0.34375
1.703125, 0.765625, 0.453125
1.40625, 0.6640625, 0.3515625
1.53125, 0.8984375, 0.578125
1.265625, 0.5546875, 0.234375
1.359375, 0.7265625, 0.6171875
1.796875, 0.6796875, 0.40625
1.7734375, 1.0390625, 0.328125
1.1796875, 0.640625, 0.421875
2.0078125, 0.640625, 0.5546875
1.3125, 0.6171875, 0.296875
1.53125, 0.5234375, 0.625
1.5078125, 0.6796875, 0.328125
1.46875, 0.890625, 0.3828125
1.6640625, 0.6875, 0.3359375
