X, Y, Z
-8.6, -43.400000000000006, 17.7
-8.1, -42.6, 18.6
-7.9, -43.6, 17.1
-8.1, -42.7, 16.3
-8.8, -43.400000000000006, 17.8
-8.6, -42.800000000000004, 17.2
-8.5, -42.2, 17.1
-8.3, -43.2, 17.6
-8.6, -43.2, 17.400000000000002
-9.4, -43.2, 17.400000000000002
-9.0, -43.1, 16.6
-8.6, -42.800000000000004, 16.8
-8.4, -42.300000000000004, 16.3
-8.700000000000001, -43.6, 16.7
-8.4, -43.800000000000004, 18.3
-8.700000000000001, -43.300000000000004, 16.0
-9.4, -43.6, 17.900000000000002
-9.0, -42.800000000000004, 16.5
-9.5, -42.7, 18.2
-9.4, -42.900000000000006, 16.7
-10.0, -44.0, 16.6
-9.200000000000001, -43.800000000000004, 16.8
-9.4, -42.800000000000004, 17.3
-9.0, -43.6, 16.8
-9.0, -43.800000000000004, 16.5
-9.1, -43.2, 17.400000000000002
-8.9, -43.300000000000004, 18.2
-8.4, -43.900000000000006, 18.8
-9.0, -43.1, 17.6
-9.5, -43.6, 17.3
